设备,已审批-有效数,已审批-无效数,待审批数,总时长(分钟),待审批时长(分钟),有效时长(分钟),总时长(小时),有效时长(小时),合格率(%)
0023,,,,,,,,,
007e,601,70,172,2519.60,720.40,1583.10,41.99,26.38,88.0
0af6,287,155,101,3612.60,778.90,1720.39,60.21,28.67,60.7
23dc,449,50,119,3429.10,654.80,2430.13,57.15,40.50,87.6
25a8,456,3,134,874.70,377.00,490.71,14.58,8.18,98.6
46dd,443,93,222,3255.50,1077.00,1854.99,54.26,30.92,85.1
5222,,,,,,,,,
6bc0,424,77,124,4139.20,913.80,2674.82,68.99,44.58,82.9
75c7,21,216,100,2343.50,749.90,84.25,39.06,1.40,5.3
a37b,393,43,0,2185.20,0.00,1873.83,36.42,31.23,85.8
aaaa,23,17,205,1432.80,1239.50,101.94,23.88,1.70,52.7
abe0,602,23,82,4470.70,583.00,3716.99,74.51,61.95,95.6
fc2a,346,73,4,1816.00,27.40,1399.62,30.27,23.33,78.3
合计,4045,820,1263,30078.90,7121.70,17930.77,501.31,298.85,78.1
