设备ID,任务,总时长(小时),合格时长(小时),不合格时长(小时)
007e,Organize the nail clipper set,6.71,6.32,0.39
007e,Packing and shipping parcels,4.31,3.43,0.87
007e,Repack cotton swabs / toothpicks,5.11,5.11,0
007e,Unpack the package,4.42,3.44,0.98
007e,Wipe the watch,0.84,0.8,0.04
007e,药箱收纳,7.49,7.33,0.16
0af6,Fold summer shorts,5.01,5.01,0
0af6,Repack cotton swabs / toothpicks,1.24,1.03,0.21
0af6,分拣乐高/积木零件,8.86,4.73,4.13
0af6,分类坚果/豆子,4.95,0.31,4.64
0af6,擦拭桌面小摆件,0.49,0.49,0
0af6,整理耳机线/数据线,4.96,4.57,0.39
0af6,整理袜子,5.12,5.08,0.04
0af6,穿鞋带,4.99,4.99,0
0af6,药箱收纳,5.1,5.1,0
23dc,Repack cotton swabs / toothpicks,10.81,8.46,2.36
23dc,分拣乐高/积木零件,5.11,5.11,0
23dc,分拣晾晒衣物夹子,5.1,5.1,0
23dc,分类坚果/豆子,6,4.32,1.68
23dc,折叠购物袋,5.04,5.04,0
23dc,整理耳机线/数据线,5.02,5.02,0
23dc,整理袜子,4.13,4.13,0
25a8,Polish jewelry,0.39,0.39,0
25a8,Repack cotton swabs / toothpicks,2.42,2.42,0.01
25a8,Wipe the sink,4.58,4.53,0.05
25a8,叠衣服,0.06,0,0.06
25a8,电池安装,0.53,0.53,0
25a8,电池更换,1.33,1.33,0
46dd,Assemble the toy,4.25,4.15,0.09
46dd,Fold short-sleeve  T-shirts,2.98,2.97,0.01
46dd,Take apart the toy,3.17,3.17,0
46dd,书本收纳,4.09,3.34,0.75
46dd,叠衣服,10.61,10.4,0.21
46dd,折叠购物袋,7.22,6.1,1.12
46dd,擦拭碗盘,4,1.24,2.76
6bc0,Repack buttons,5.07,5.07,0
6bc0,Repack cotton swabs / toothpicks,5.01,5,0.01
6bc0,分拣乐高/积木零件,5.02,0.51,4.51
6bc0,分拣晾晒衣物夹子,4.31,4.31,0
6bc0,分类坚果/豆子,5.03,1.87,3.16
6bc0,擦拭桌面小摆件,5.1,5.1,0.01
6bc0,擦拭碗盘,5.18,5.17,0
6bc0,整理名片/会员卡/银行卡,3.02,3.02,0
6bc0,整理耳机线/数据线,5.03,5.03,0
6bc0,整理袜子,4.97,4.97,0
75c7,Organize the drawer,7.21,1.64,5.57
75c7,整理洗漱用品,8.81,6.1,2.71
75c7,电池更换,5,0.09,4.91
75c7,药箱收纳,0.58,0.09,0.49
8128,分类坚果/豆子,5.03,4.72,0.3
8128,整理碗筷,6.27,6.24,0.03
a37b,Fold  shirts,1.38,1.38,0
a37b,Fold sweaters,4.5,4.5,0
a37b,分拣乐高/积木零件,4.51,4.51,0
a37b,分拣晾晒衣物夹子,6.66,6.64,0.02
a37b,分类坚果/豆子,4.2,4.2,0.01
a37b,整理耳机线/数据线,7.3,5.74,1.56
a37b,穿鞋带,4.17,3.23,0.94
aaaa,Fold skirts,3.13,3.13,0
aaaa,Polish jewelry,0.33,0.33,0
aaaa,Wipe the comb,4.25,4.25,0
aaaa,叠衣服,1.67,1.26,0.4
abe0,Repack buttons,6.05,4.63,1.42
abe0,Repack cotton swabs / toothpicks,4.7,4.7,0
abe0,Wipe the watch,5.07,5.04,0.02
abe0,分拣乐高/积木零件,5.03,3.81,1.22
abe0,分拣晾晒衣物夹子,5.03,5.03,0
abe0,分类坚果/豆子,5.02,5.02,0
abe0,分装纽扣,0.14,0.14,0
abe0,叠衣服,0.35,0.35,0
abe0,折叠购物袋,0.06,0.06,0
abe0,擦拭桌面小摆件,5.03,5.03,0
abe0,擦拭碗盘,0.05,0.05,0
abe0,整理名片/会员卡/银行卡,5.05,5.05,0
abe0,整理碗筷,0.01,0.01,0
abe0,整理耳机线/数据线,5.06,5.06,0
abe0,整理袜子,5.07,5.06,0.01
abe0,穿鞋带,0.2,0.2,0
abe0,药箱收纳,5.01,5.01,0
fc2a,Organize cosmetic samples,0.06,0.06,0
fc2a,Replace the garbage bag,1.39,1.15,0.23
fc2a,Wipe the sink,2.89,2.89,0
fc2a,叠衣服,10.49,10.14,0.35
fc2a,折叠购物袋,4.49,4.49,0
fc2a,整理零食、调料或玩具,7.51,6.01,1.5
fc2a,整理鞋柜,2.97,2.36,0.61
