采集日期,涉及设备数,数据条数,总时长(分),无效时长(分)
2026-02-02,3,3,5.1,5.1
2026-02-03,3,3,11.7,11.7
2026-02-05,1,1,10.0,10.0
2026-02-06,3,44,378.5,376.99
2026-02-07,5,31,267.5,242.05
2026-02-08,2,7,68.0,67.72
2026-02-09,3,8,50.0,45.58
2026-02-10,1,1,3.0,3.0
2026-02-11,1,1,9.8,9.8
2026-02-12,2,12,94.0,87.28
2026-02-13,2,27,224.1,224.1
2026-02-14,2,56,454.9,454.9
2026-02-15,3,53,413.3,413.3
2026-02-16,3,43,332.0,332.0
2026-02-18,3,23,179.8,177.0
2026-02-19,3,57,401.1,401.1
2026-02-20,2,17,115.0,115.0
2026-02-21,1,17,125.0,125.0
2026-02-23,1,4,30.5,30.5
2026-02-24,2,36,300.0,300.0
2026-02-25,4,54,410.9,408.91
2026-02-26,2,3,9.9,9.9
2026-02-27,3,54,481.1,479.76
2026-02-28,4,28,256.4,255.99
2026-03-01,3,6,35.5,33.55
2026-03-02,3,19,163.1,151.45
2026-03-04,2,47,452.0,429.43
2026-03-05,3,58,550.3,533.48
2026-03-06,3,67,617.5,574.78
2026-03-07,3,62,571.1,521.17
2026-03-08,3,15,135.4,125.81
2026-03-09,1,3,13.2,13.2
2026-03-10,1,18,141.2,141.05
2026-03-11,3,50,444.5,437.22
2026-03-12,1,20,169.5,169.28
2026-03-14,2,14,125.0,114.03
2026-03-15,1,4,14.200000000000001,8.33
2026-03-16,4,57,427.1,403.54
2026-03-17,2,24,191.4,174.31
2026-03-18,3,49,420.3,381.78
2026-03-19,3,28,243.0,208.99
2026-03-20,3,15,126.6,103.12
2026-03-21,2,27,228.8,204.82
2026-03-22,1,25,216.7,210.73
2026-03-23,1,25,209.3,208.64000000000001
2026-03-24,4,60,509.9,483.22
2026-03-25,5,57,441.8,422.57
2026-03-26,5,54,447.4,441.68
2026-03-27,3,49,439.5,411.14
2026-03-28,4,32,272.9,234.26
2026-03-29,1,2,7.5,7.5
2026-03-30,4,37,295.9,282.92
2026-03-31,4,18,131.9,125.21000000000001
