采集日期,采集时间,设备ID,段落序号,向下镜头视频链接,向前镜头视频链接,session_id,filesize,原始上送时长,任务描述,无效时长,算法端可接受时长,审批人,审批状态,时间标注信息,无效片段标记时长,有效片段标记时长,无效片段标记原因,NOTE,操作员姿态,头部移动,向下摄像头手部位置,向前摄像头手部位置,has_tool_use,has_tool_use_significant,其余数据标签,LET PT,Unnamed: 27,肇庆审核
2026-02-02,15:14:32,082c,0,http://localhost:8082/faster?path=082c/session_20260202_071432_208727/segments/082c-down_sbs_0000.mp4,http://localhost:8082/faster?path=082c/session_20260202_071432_208727/segments/082c-front_sbs_0000.mp4,session_20260202_071432_208727,168.42 MB,1.4,叠衣服,1.4,0.0,刘涛萌,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 84.0, ""name"": ""手部未漏全"", ""type"": ""invalid"", ""duration"": 84.0}]",1.40,0.0,手部未漏全(1.40),手部未漏全,,,,,,,,,,
2026-02-02,16:46:43,1af8,1,http://localhost:8082/faster?path=1af8/session_20260202_084643_685244/segments/1af8-down_sbs_0001.mp4,http://localhost:8082/faster?path=1af8/session_20260202_084643_685244/segments/1af8-front_sbs_0001.mp4,session_20260202_084643_685244,204.82 MB,1.7,穿鞋带,1.7,0.0,邹子扬,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 102.0, ""name"": ""手部未露全"", ""type"": ""invalid"", ""duration"": 102.0}]",1.70,0.0,手部未露全(1.70),手部未露全,,,,,,,,,,
2026-02-02,15:19:29,5683,0,http://localhost:8082/faster?path=5683/session_20260202_071929_901905/segments/5683-down_sbs_0000.mp4,http://localhost:8082/faster?path=5683/session_20260202_071929_901905/segments/5683-front_sbs_0000.mp4,session_20260202_071929_901905,234.42 MB,2.0,叠衣服,2.0,0.0,邹子扬,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 120.0, ""name"": ""脱下设备"", ""type"": ""invalid"", ""duration"": 120.0}]",2.00,0.0,脱下设备(2.00),脱下设备,,,,,,,,,,
2026-02-03,16:53:33,2f59,0,http://localhost:8082/faster?path=2f59/session_20260203_085333_944927/segments/2f59-down_sbs_0000.mp4,http://localhost:8082/faster?path=2f59/session_20260203_085333_944927/segments/2f59-front_sbs_0000.mp4,session_20260203_085333_944927,96.32 MB,0.8,叠衣服,0.8,0.0,李虹霖,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 48.0, ""name"": ""脱下设备"", ""type"": ""invalid"", ""duration"": 48.0}]",0.80,0.0,脱下设备(0.80),脱下设备,,,,,,,,,,
2026-02-03,16:29:52,4f53,0,http://localhost:8082/faster?path=4f53/session_20260203_082952_379050/segments/4f53-down_sbs_0000.mp4,http://localhost:8082/faster?path=4f53/session_20260203_082952_379050/segments/4f53-front_sbs_0000.mp4,session_20260203_082952_379050,103.70 MB,0.9,叠衣服,0.9,0.0,李虹霖,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 54.0, ""name"": ""脱下设备"", ""type"": ""invalid"", ""duration"": 54.0}]",0.90,0.0,脱下设备(0.90),脱下设备,,,,,,,,,,
2026-02-03,13:57:36,d8db,0,http://localhost:8082/faster?path=d8db/session_20260203_055736_610142/segments/d8db-down_sbs_0000.mp4,http://localhost:8082/faster?path=d8db/session_20260203_055736_610142/segments/d8db-front_sbs_0000.mp4,session_20260203_055736_610142,1202.43 MB,10.0,叠衣服,10.0,0.0,王炜龙,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 600.0, ""name"": ""手未露全"", ""type"": ""invalid"", ""duration"": 600.0}]",10.00,0.0,手未露全(10.00),手未露全,,,,,,,,,,
2026-02-05,8:09:35,d8db,1,http://localhost:8082/faster?path=d8db/session_20260205_080935_186782/segments/d8db-down_sbs_0001.mp4,http://localhost:8082/faster?path=d8db/session_20260205_080935_186782/segments/d8db-front_sbs_0001.mp4,session_20260205_080935_186782,1200.38 MB,10.0,未指定任务,10.0,0.0,罗宇星,已审批-无效片段过长,"[{""start"":0,""end"":599.96,""name"":""多只手"",""type"":""invalid"",""duration"":599.96}]",10,0.0,多只手(10.00),,坐姿,头部几乎不动,手部位置偏下,手部在区间内,否,否,,,,
2026-02-06,13:46:46,1af8,0,http://localhost:8082/faster?path=1af8/session_20260206_054646_528265/segments/1af8-down_sbs_0000.mp4,http://localhost:8082/faster?path=1af8/session_20260206_054646_528265/segments/1af8-front_sbs_0000.mp4,session_20260206_054646_528265,1202.36 MB,10.0,叠衣服,10.0,0.0,吴镔,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 600.0, ""name"": ""手部出画"", ""type"": ""invalid"", ""duration"": 600.0}]",10.00,0.0,手部出画(10.00),手部出画,坐姿,头部自然移动,手部出画面,,,,,,,
2026-02-06,13:46:46,1af8,1,http://localhost:8082/faster?path=1af8/session_20260206_054646_528265/segments/1af8-down_sbs_0001.mp4,http://localhost:8082/faster?path=1af8/session_20260206_054646_528265/segments/1af8-front_sbs_0001.mp4,session_20260206_054646_528265,1200.38 MB,10.0,叠衣服,10.0,0.0,邹子扬,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 600.0, ""name"": ""手部未露全"", ""type"": ""invalid"", ""duration"": 600.0}]",10.00,0.0,手部未露全(10.00),手部未露全,,,,,,,,,,
2026-02-06,13:46:46,1af8,2,http://localhost:8082/faster?path=1af8/session_20260206_054646_528265/segments/1af8-down_sbs_0002.mp4,http://localhost:8082/faster?path=1af8/session_20260206_054646_528265/segments/1af8-front_sbs_0002.mp4,session_20260206_054646_528265,1200.38 MB,10.0,叠衣服,10.0,0.0,王炜龙,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 600.0, ""name"": ""手部未露全"", ""type"": ""invalid"", ""duration"": 600.0}]",10.00,0.0,手部未露全(10.00),手部未露全,,,,,,,,,,
2026-02-06,14:35:38,1af8,1,http://localhost:8082/faster?path=1af8/session_20260206_063538_547296/segments/1af8-down_sbs_0001.mp4,http://localhost:8082/faster?path=1af8/session_20260206_063538_547296/segments/1af8-front_sbs_0001.mp4,session_20260206_063538_547296,1200.36 MB,10.0,叠衣服,10.0,0.0,邹子扬,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 600.0, ""name"": ""手部未露全"", ""type"": ""invalid"", ""duration"": 600.0}]",10.00,0.0,手部未露全(10.00),手部未露全,,,,,,,,,,
2026-02-06,14:35:38,1af8,3,http://localhost:8082/faster?path=1af8/session_20260206_063538_547296/segments/1af8-down_sbs_0003.mp4,http://localhost:8082/faster?path=1af8/session_20260206_063538_547296/segments/1af8-front_sbs_0003.mp4,session_20260206_063538_547296,1200.45 MB,10.0,叠衣服,10.0,0.0,吴镔,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 600.0, ""name"": ""手部出画"", ""type"": ""invalid"", ""duration"": 600.0}]",10.00,0.0,手部出画(10.00),手部出画,坐姿,头部自然移动,手部出画面,,,,,,,
2026-02-06,14:35:38,1af8,4,http://localhost:8082/faster?path=1af8/session_20260206_063538_547296/segments/1af8-down_sbs_0004.mp4,http://localhost:8082/faster?path=1af8/session_20260206_063538_547296/segments/1af8-front_sbs_0004.mp4,session_20260206_063538_547296,1153.22 MB,9.6,叠衣服,9.6,0.0,邹子扬,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 576.0, ""name"": ""手部未露全"", ""type"": ""invalid"", ""duration"": 576.0}]",9.60,0.0,手部未露全(9.60),手部未露全,,,,,,,,,,
2026-02-06,15:27:14,1af8,5,http://localhost:8082/faster?path=1af8/session_20260206_072714_203444/segments/1af8-down_sbs_0005.mp4,http://localhost:8082/faster?path=1af8/session_20260206_072714_203444/segments/1af8-front_sbs_0005.mp4,session_20260206_072714_203444,86.53 MB,0.7,叠衣服,0.7,0.0,邹子扬,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 42.0, ""name"": ""有效时长过短"", ""type"": ""invalid"", ""duration"": 42.0}]",0.70,0.0,有效时长过短(0.70),时间较短,,,,,,,,,,
2026-02-06,16:21:51,1af8,0,http://localhost:8082/faster?path=1af8/session_20260206_082151_960445/segments/1af8-down_sbs_0000.mp4,http://localhost:8082/faster?path=1af8/session_20260206_082151_960445/segments/1af8-front_sbs_0000.mp4,session_20260206_082151_960445,1202.39 MB,10.0,叠衣服,10.0,0.0,吴镔,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 600.0, ""name"": ""手部出画"", ""type"": ""invalid"", ""duration"": 600.0}]",10.00,0.0,手部出画(10.00),手部出画,坐姿,头部自然移动,手部出画面,,,,,,,
2026-02-06,16:21:51,1af8,1,http://localhost:8082/faster?path=1af8/session_20260206_082151_960445/segments/1af8-down_sbs_0001.mp4,http://localhost:8082/faster?path=1af8/session_20260206_082151_960445/segments/1af8-front_sbs_0001.mp4,session_20260206_082151_960445,1200.38 MB,10.0,叠衣服,10.0,0.0,吴镔,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 600.0, ""name"": ""手部出画"", ""type"": ""invalid"", ""duration"": 600.0}]",10.00,0.0,手部出画(10.00),手部出画,坐姿,头部自然移动,手部出画面,,,,,,,
2026-02-06,16:21:51,1af8,4,http://localhost:8082/faster?path=1af8/session_20260206_082151_960445/segments/1af8-down_sbs_0004.mp4,http://localhost:8082/faster?path=1af8/session_20260206_082151_960445/segments/1af8-front_sbs_0004.mp4,session_20260206_082151_960445,180.99 MB,1.5,叠衣服,1.5,0.0,吴镔,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 90.0, ""name"": ""脱下设备"", ""type"": ""invalid"", ""duration"": 90.0}]",1.50,0.0,脱下设备(1.50),脱下设备,坐姿,头部自然移动,手部位置居中,,,,,,,
2026-02-06,17:07:06,1af8,4,http://localhost:8082/faster?path=1af8/session_20260206_090706_549296/segments/1af8-down_sbs_0004.mp4,http://localhost:8082/faster?path=1af8/session_20260206_090706_549296/segments/1af8-front_sbs_0004.mp4,session_20260206_090706_549296,1200.41 MB,10.0,叠衣服,10.0,0.0,王炜龙,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 600.0, ""name"": ""多只手"", ""type"": ""invalid"", ""duration"": 600.0}]",10.00,0.0,多只手(10.00),多只手,,,,,,,,,,
2026-02-06,17:07:06,1af8,5,http://localhost:8082/faster?path=1af8/session_20260206_090706_549296/segments/1af8-down_sbs_0005.mp4,http://localhost:8082/faster?path=1af8/session_20260206_090706_549296/segments/1af8-front_sbs_0005.mp4,session_20260206_090706_549296,535.63 MB,4.5,叠衣服,4.5,0.0,王炜龙,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 270.0, ""name"": ""多只手"", ""type"": ""invalid"", ""duration"": 270.0}]",4.50,0.0,多只手(4.50),多只手,,,,,,,,,,
2026-02-06,12:42:55,d8db,4,http://localhost:8082/faster?path=d8db/session_20260206_044255_737722/segments/d8db-down_sbs_0004.mp4,http://localhost:8082/faster?path=d8db/session_20260206_044255_737722/segments/d8db-front_sbs_0004.mp4,session_20260206_044255_737722,141.05 MB,1.2,书本收纳,1.2,0.0,王炜龙,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 72.0, ""name"": ""手部动作没变化"", ""type"": ""invalid"", ""duration"": 72.0}]",1.20,0.0,手部动作没变化(1.20),手部动作没变化,,,,,,,,,,
2026-02-06,16:28:05,d8db,0,http://localhost:8082/faster?path=d8db/session_20260206_082805_476354/segments/d8db-down_sbs_0000.mp4,http://localhost:8082/faster?path=d8db/session_20260206_082805_476354/segments/d8db-front_sbs_0000.mp4,session_20260206_082805_476354,1202.38 MB,10.0,书本收纳,10.0,0.0,王炜龙,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 600.0, ""name"": ""手部未露全"", ""type"": ""invalid"", ""duration"": 600.0}]",10.00,0.0,手部未露全(10.00),手部未露全,,,,,,,,,,
2026-02-06,18:22:05,d8db,0,http://localhost:8082/faster?path=d8db/session_20260206_102205_168786/segments/d8db-down_sbs_0000.mp4,http://localhost:8082/faster?path=d8db/session_20260206_102205_168786/segments/d8db-front_sbs_0000.mp4,session_20260206_102205_168786,1202.45 MB,10.0,书本收纳,10.0,0.0,吴镔,已审批-无效片段过长,"[{""start"": 0.0, ""end"": 600.0, ""name"": ""手部出画"", ""type"": ""invalid"", ""duration"": 600.0}]",10.00,0.0,手部出画(10.00),手部出画,坐姿,头部自然移动,手部出画面,,,,,,,
2026-02-06,10:22:05,d8db,1,http://localhost:8082/faster?path=d8db/session_20260206_102205_168786/segments/d8db-down_sbs_0001.mp4,http://localhost:8082/faster?path=d8db/session_20260206_102205_168786/segments/d8db-front_sbs_0001.mp4,session_20260206_102205_168786,1200.32 MB,10.0,书本收纳,9.98,0.02,容雪丽,已审批-无效片段过长,"[{""start"":1.08,""end"":599.96,""name"":""未按照规定动作操作"",""type"":""invalid"",""duration"":598.88}]",9.98,0.0,未按照规定动作操作(9.98),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,10:22:05,d8db,2,http://localhost:8082/faster?path=d8db/session_20260206_102205_168786/segments/d8db-down_sbs_0002.mp4,http://localhost:8082/faster?path=d8db/session_20260206_102205_168786/segments/d8db-front_sbs_0002.mp4,session_20260206_102205_168786,1200.39 MB,10.0,书本收纳,9.99,0.01,容雪丽,已审批-无效片段过长,"[{""start"":0.56,""end"":599.96,""name"":""未按照规定动作操作"",""type"":""invalid"",""duration"":599.4000000000001}]",9.99,0.0,未按照规定动作操作(9.99),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
